FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
111,5,324.6979532,236435.898,3934,0.438154508,203333.2082,8135.126815,645,2002,14133,3,0.727673958,1226,6,15,2.5,20,3.333333333,1790.909328,298.4848879,6667.021,1111.170167,2,0.333333333,52602.34975
112,36,398.9010593,290613.7486,2677,0.713862616,139886.5549,5600.40966,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,120398.0326
113,26,227.3945669,165709.5092,2439,0.591652695,127499.0461,5102.399859,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,115297.6969
114,9,1821.659871,1327504.223,9371,0.435849899,476143.8742,19047.96628,621,1968,547,0,0,0,1,1,1,0,0,8.22501,8.22501,8.22501,8.22501,0,0,384000.5592
115,9,1821.659871,1327504.223,9371,0.435849899,476143.8742,19047.96628,642,1998,4819,1,0.405114712,1072,0,0,0,0,0,0,0,0,0,0,0,4772.122088
116,19,2374.714221,1732125.795,6448,0.723551783,328981.2588,13160.49388,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,201318.7338
117,53,59.0130688,43007.17512,839,0.876220541,49779.14503,1991.809151,624,1962,1985,9,-0.237948898,667,20,47,2.35,1,0.05,14248.2368,712.4118399,14248.2368,712.4118399,1,0.05,49779.14503
118,54,106.138701,77337.0001,2763,0.356794136,144298.9982,5772.834338,621,1968,547,0,0,0,13,16,1.230769231,0,0,14764.21047,1135.708498,14764.21047,1135.708498,0,0,32926.90882
119,54,106.138701,77337.0001,2763,0.356794136,144298.9982,5772.834338,631,1953,4529,8,-0.038952592,795,39,67,1.717948718,105,2.692307692,9459.763785,242.5580458,15745.84874,403.7397113,28,0.717948718,53894.67655
120,54,106.138701,77337.0001,2763,0.356794136,144298.9982,5772.834338,632,1953,3838,9,-0.420960559,557,69,140,2.028985507,301,4.362318841,9065.845212,131.389061,24165.05181,350.2181421,60,0.869565217,57477.41286
121,55,263.5633817,192078.0311,2085,0.74513973,110342.9379,4417.110372,414,1993,7331,3,0.40704595,1073,39,157,4.025641026,282,7.230769231,8412.25038,215.6987277,47599.34229,1220.495956,35,0.897435897,47837.70407
122,55,263.5633817,192078.0311,2085,0.74513973,110342.9379,4417.110372,415,1993,7944,4,0.337470405,1033,2,12,6,44,22,735.3688177,367.6844088,4808.008595,2404.004297,2,1,3239.491183
123,55,263.5633817,192078.0311,2085,0.74513973,110342.9379,4417.110372,421,1999,5767,1,0.745755984,1231,1,2,2,1,1,214.8946775,214.8946775,429.7893551,429.7893551,1,1,8005.637548
124,55,263.5633817,192078.0311,2085,0.74513973,110342.9379,4417.110372,422,1970,5718,4,0.613118037,1169,20,30,1.5,17,0.85,3344.805423,167.2402711,4524.492081,226.2246041,19,0.95,31846.97685
125,55,263.5633817,192078.0311,2085,0.74513973,110342.9379,4417.110372,423,1970,4527,6,0.529762901,1136,8,29,3.625,56,7,982.2479978,122.7809997,3906.533871,488.3167339,7,0.875,19413.12823
126,56,31.63261778,23052.09389,740,0.72732481,42700.48826,1709.139858,423,1970,4527,6,0.529762901,1136,0,0,0,0,0,0,0,0,0,0,0,4673.716818
127,56,31.63261778,23052.09389,740,0.72732481,42700.48826,1709.139858,611,1900,4260,6,0.544473607,1145,15,88,5.866666667,243,16.2,7373.110731,491.5407154,48774.81202,3251.654135,9,0.6,36525.82455
128,56,31.63261778,23052.09389,740,0.72732481,42700.48826,1709.139858,612,1937,4668,7,-0.237948898,667,2,2,1,2,1,306.2307019,153.1153509,306.2307019,153.1153509,2,1,1500.946896
129,57,24.38306547,17768.52993,688,0.686818908,42119.52351,1686.621143,423,1970,4527,6,0.529762901,1136,0,0,0,0,0,0,0,0,0,0,0,3130.305198
130,57,24.38306547,17768.52993,688,0.686818908,42119.52351,1686.621143,431,1960,3424,8,0.653496134,1189,0,0,0,0,0,0,0,0,0,0,0,310.5491798
131,57,24.38306547,17768.52993,688,0.686818908,42119.52351,1686.621143,523,1951,3027,7,-0.230236312,676,0,0,0,0,0,0,0,0,0,0,0,7502.044992
132,57,24.38306547,17768.52993,688,0.686818908,42119.52351,1686.621143,611,1900,4260,6,0.544473607,1145,8,126,15.75,585,73.125,5969.987962,746.2484952,115293.4947,14411.68683,7,0.875,31176.62414
